part_number,build_id,volume_mm3,x_position_mm,y_position_mm,z_position_mm,geometry,relative_density
0,B00352,6852856.0,,134.97,260.24,cube,98.96
1,B00352,1960233.0,-80.5,,248.58,bracket,98.67
2,B00352,5191543.0,18.5,-93.56,346.52,lattice,98.63
3,B00352,2903851.0,-93.23,101.1,86.94,cube,98.74
0,B00353,1509827.0,95.19,-34.95,268.68,bracket,97.9
1,B00353,,-6.66,16.34,264.69,bracket,98.68
2,B00353,2214934.0,176.38,-189.21,78.78,bracket,98.04
3,B00353,13190771.0,30.11,203.49,20.81,lattice,
0,B00354,3001252.0,143.88,-40.32,283.81,tensile_bar,98.23
1,B00354,10005356.0,-75.14,-103.72,259.52,tensile_bar,97.87
2,B00354,,72.81,211.31,170.53,tensile_bar,97.66
3,B00354,5678608.0,194.74,-23.55,144.23,cube,97.65
0,B00355,7898353.0,-145.68,-115.04,0.81,tensile_bar,98.54
1,B00355,2766254.0,-220.11,82.49,1.75,tensile_bar,98.13
2,B00355,8686199.0,-109.6,122.37,223.51,cube,98.87
3,B00355,2393904.0,-150.26,169.45,21.03,cube,
0,B00356,8820465.0,72.63,-28.93,196.25,tensile_bar,98.96
1,B00356,7453058.0,70.02,218.24,129.13,tensile_bar,98.03
2,B00356,1537669.0,167.78,17.06,112.71,cube,98.16
3,B00356,2198393.0,-62.85,-45.69,,lattice,98.93
0,B00357,2788279.0,-186.56,-46.13,48.85,tensile_bar,96.55
1,B00357,,21.34,116.96,221.23,bracket,96.26
2,B00357,6646098.0,-135.37,62.51,178.17,cube,97.22
3,B00357,840435.0,-234.56,44.03,94.07,cube,97.35
4,B00357,2730633.0,57.32,7.24,305.45,lattice,97.28
0,B00358,3476747.0,102.74,194.66,202.01,lattice,98.55
1,B00358,2297049.0,74.55,-166.75,344.48,tensile_bar,
2,B00358,5040757.0,-114.89,229.03,32.83,bracket,
3,B00358,3766135.0,37.61,38.52,55.43,lattice,98.61
4,B00358,6195337.0,69.87,-172.54,277.61,cube,98.14
0,B00359,3135592.0,-249.47,-31.7,173.17,tensile_bar,96.88
1,B00359,7360241.0,76.22,-111.59,291.62,lattice,96.64
2,B00359,2867934.0,-125.71,112.7,53.73,bracket,96.29
3,B00359,2441599.0,-213.82,-41.84,302.91,tensile_bar,
0,B00360,1993112.0,201.74,185.24,282.18,bracket,97.94
1,B00360,5855995.0,-233.23,115.44,,tensile_bar,97.11
2,B00360,2311116.0,230.31,-133.35,195.56,bracket,97.83
3,B00360,858933.0,,210.92,153.58,lattice,97.95
4,B00360,1075419.0,-78.34,-100.09,248.43,tensile_bar,98.98
0,B00361,4178793.0,139.52,-35.62,249.08,bracket,98.83
1,B00361,,-22.77,11.58,324.52,lattice,98.96
2,B00361,2367055.0,-62.7,-198.32,244.23,tensile_bar,98.92
3,B00361,3011599.0,-107.19,43.96,,tensile_bar,98.76
4,B00361,3955457.0,112.96,,58.28,bracket,98.45
5,B00361,5621121.0,152.62,-125.72,,lattice,98.68
0,B00362,9076343.0,46.8,245.63,18.53,cube,98.74
1,B00362,2610507.0,-234.68,-42.35,240.12,cube,97.59
2,B00362,3858177.0,230.91,119.63,100.3,tensile_bar,
3,B00362,3577367.0,,54.33,111.32,tensile_bar,
0,B00363,6005487.0,-188.65,152.38,174.02,bracket,96.9
1,B00363,,14.69,-143.09,344.88,bracket,97.18
2,B00363,3573692.0,-225.25,-18.51,30.97,cube,96.31
3,B00363,3877276.0,75.64,74.1,65.36,bracket,97.02
4,B00363,5338196.0,239.94,,77.28,lattice,96.89
0,B00364,3176785.0,221.49,134.4,197.35,bracket,98.64
1,B00364,1716120.0,136.42,139.12,227.48,bracket,98.76
2,B00364,4982806.0,,189.39,,tensile_bar,99.21
3,B00364,6408616.0,-73.41,-78.5,49.45,tensile_bar,
4,B00364,4181209.0,162.45,62.71,67.01,tensile_bar,
0,B00365,3013391.0,132.11,190.93,211.31,cube,98.65
1,B00365,3793183.0,104.6,-51.62,288.06,bracket,
2,B00365,2362818.0,-246.85,-64.68,238.62,bracket,98.01
3,B00365,9249951.0,-104.8,-236.24,304.24,tensile_bar,97.33
0,B00366,5287391.0,-4.51,-102.91,135.5,lattice,98.7
1,B00366,4446236.0,63.0,-12.77,65.34,bracket,98.62
2,B00366,2661231.0,3.25,27.54,212.68,cube,98.43
3,B00366,2399537.0,-58.68,159.41,14.94,lattice,98.63
4,B00366,,-166.77,,182.37,bracket,
0,B00367,,-198.14,-1.56,,bracket,98.4
1,B00367,1588870.0,20.01,-145.53,84.29,tensile_bar,99.65
2,B00367,3684726.0,43.21,7.72,66.22,tensile_bar,98.93
3,B00367,5066043.0,-22.89,-160.64,190.24,bracket,99.22
4,B00367,2491644.0,-193.86,204.21,252.14,cube,98.18
0,B00368,9304762.0,-138.02,-89.04,50.96,lattice,
1,B00368,2829398.0,-129.42,-9.87,200.77,bracket,98.74
2,B00368,5902311.0,141.54,182.58,309.27,tensile_bar,98.61
3,B00368,2595555.0,123.98,194.74,,lattice,
0,B00369,923552.0,-183.88,-125.87,278.93,bracket,99.09
1,B00369,3453122.0,56.29,-172.36,82.25,tensile_bar,98.35
2,B00369,413095.0,121.0,215.7,132.17,cube,98.26
3,B00369,6032314.0,-197.96,222.69,81.01,tensile_bar,98.02
4,B00369,3913361.0,-69.49,114.27,33.99,cube,98.94
0,B00370,3532035.0,25.91,239.21,88.16,bracket,98.41
1,B00370,3870331.0,-36.05,217.08,228.55,tensile_bar,97.56
2,B00370,1945728.0,130.19,-203.97,,tensile_bar,98.11
3,B00370,5914194.0,-48.74,-19.65,29.95,lattice,97.61
0,B00371,8517586.0,28.52,,121.82,lattice,96.71
1,B00371,5563572.0,-38.03,,,cube,96.47
2,B00371,3169023.0,-206.64,-70.5,348.48,tensile_bar,96.79
3,B00371,2766132.0,-7.95,43.46,251.91,cube,
4,B00371,1667199.0,-94.37,89.51,291.42,bracket,96.51
0,B00372,6528489.0,36.88,137.88,56.52,tensile_bar,95.69
1,B00372,3044046.0,-115.56,-28.7,220.25,cube,95.77
2,B00372,2013486.0,155.08,62.04,119.94,bracket,96.28
3,B00372,3619187.0,,-14.67,245.87,bracket,95.45
4,B00372,5970646.0,-233.23,-26.15,,lattice,95.73
0,B00373,1987681.0,-213.84,-122.16,71.25,tensile_bar,98.4
1,B00373,2290706.0,-20.96,-164.71,77.46,bracket,97.97
2,B00373,2843443.0,122.67,-95.16,188.75,lattice,98.56
3,B00373,12574231.0,81.83,241.51,28.12,cube,
0,B00374,6806496.0,19.34,21.9,246.87,bracket,98.63
1,B00374,6728285.0,-134.16,148.49,44.83,lattice,98.09
2,B00374,,-82.44,-57.51,225.6,cube,98.93
3,B00374,3170344.0,-69.03,179.17,277.8,cube,97.87
4,B00374,,-82.51,-83.23,340.3,cube,98.83
0,B00375,8497468.0,216.11,-58.33,111.86,cube,98.34
1,B00375,4790126.0,24.19,126.9,158.64,bracket,98.11
2,B00375,,-104.17,-157.34,231.27,bracket,97.95
3,B00375,4684125.0,-28.02,117.83,324.65,lattice,98.85
0,B00376,3895648.0,-38.39,85.48,234.97,bracket,98.84
1,B00376,3728435.0,-8.59,-57.48,310.23,tensile_bar,98.87
2,B00376,434898.0,106.74,-171.61,13.08,cube,98.6
3,B00376,9286988.0,-60.8,65.63,340.66,tensile_bar,98.38
0,B00377,4818105.0,95.89,193.43,204.48,tensile_bar,98.69
1,B00377,3246730.0,-65.05,-0.78,207.11,tensile_bar,98.98
2,B00377,2289421.0,150.87,-122.09,318.81,cube,97.68
3,B00377,,48.0,-89.19,66.34,cube,98.67
0,B00378,3839697.0,-19.51,-9.25,105.89,cube,
1,B00378,1378015.0,-150.24,-174.77,199.92,tensile_bar,98.63
2,B00378,,79.59,104.86,281.26,tensile_bar,98.07
3,B00378,6376806.0,-230.34,168.87,21.55,lattice,98.49
0,B00379,5186768.0,102.97,-118.84,299.3,bracket,98.66
1,B00379,2161578.0,,-113.1,104.08,lattice,99.19
2,B00379,4272072.0,-129.3,236.88,258.07,lattice,99.13
3,B00379,8117773.0,-214.23,3.54,128.51,cube,98.63
0,B00380,1465052.0,-25.8,-208.82,179.5,cube,97.49
1,B00380,4913425.0,-10.23,201.89,70.12,bracket,97.31
2,B00380,5538446.0,-57.89,-38.46,339.9,tensile_bar,97.14
3,B00380,3462521.0,242.8,187.7,,tensile_bar,96.74
0,B00381,2804820.0,78.66,-160.39,34.98,bracket,97.06
1,B00381,5585276.0,-234.44,95.72,91.23,lattice,96.47
2,B00381,3247186.0,35.77,142.33,131.59,lattice,97.36
3,B00381,4510150.0,-39.35,,50.22,bracket,96.33
4,B00381,2882944.0,81.94,-64.03,91.08,bracket,96.79
5,B00381,1727109.0,211.34,140.04,106.54,tensile_bar,97.43
0,B00382,,-84.22,124.91,219.64,bracket,98.28
1,B00382,3813637.0,131.31,-178.96,44.42,bracket,97.74
2,B00382,2489279.0,-178.29,22.79,284.15,tensile_bar,
3,B00382,5795791.0,-55.84,89.98,229.5,tensile_bar,98.53
0,B00383,4743906.0,-231.39,192.59,92.76,lattice,
1,B00383,9838491.0,192.76,70.43,,bracket,
2,B00383,1884059.0,-117.14,-79.73,52.62,lattice,97.2
3,B00383,,-138.15,-230.54,,tensile_bar,
0,B00384,7166232.0,-113.39,131.91,277.36,tensile_bar,98.34
1,B00384,4893114.0,51.6,,167.85,cube,97.74
2,B00384,1064138.0,62.17,-162.15,5.17,bracket,98.45
3,B00384,2737452.0,83.34,51.42,223.5,cube,98.51
4,B00384,1099074.0,,-202.45,76.42,tensile_bar,98.19
5,B00384,3173812.0,-127.52,-146.37,271.29,lattice,98.59
0,B00385,1701813.0,-25.52,-36.44,,lattice,98.5
1,B00385,4322149.0,,116.03,31.77,bracket,98.59
2,B00385,,208.43,135.51,100.72,cube,97.86
3,B00385,6931966.0,-231.85,216.35,239.4,lattice,98.1
0,B00386,7206196.0,-164.02,-107.1,189.13,lattice,97.53
1,B00386,3709642.0,59.22,-11.37,120.74,bracket,
2,B00386,6005418.0,110.82,-101.07,39.74,bracket,
3,B00386,3892486.0,209.44,-249.59,20.16,cube,95.92
0,B00387,4502762.0,72.08,-202.7,45.93,bracket,98.35
1,B00387,1125138.0,-198.94,0.74,262.51,bracket,99.33
2,B00387,3322799.0,34.26,-117.0,324.2,cube,99.39
3,B00387,2609081.0,-95.74,-104.4,34.91,lattice,99.31
4,B00387,7762794.0,-208.74,-217.26,339.85,cube,98.57
5,B00387,1079240.0,,90.73,159.45,cube,98.79
0,B00388,4593146.0,34.87,,320.68,lattice,
1,B00388,2484805.0,-21.48,140.76,164.6,cube,97.1
2,B00388,1556888.0,-142.32,237.38,185.72,lattice,97.31
3,B00388,1906045.0,,-58.96,130.74,bracket,97.38
0,B00389,5532551.0,,157.78,164.75,cube,96.74
1,B00389,3355690.0,-141.75,-170.52,36.18,tensile_bar,96.58
2,B00389,7526570.0,93.84,239.96,36.65,bracket,96.69
3,B00389,2305209.0,-198.71,234.14,,tensile_bar,96.32
0,B00390,3166678.0,-41.55,-16.98,166.75,cube,98.72
1,B00390,5192352.0,-208.94,165.68,,tensile_bar,99.09
2,B00390,7177119.0,-25.68,27.06,290.2,tensile_bar,
3,B00390,3604844.0,,217.41,102.49,bracket,98.5
0,B00391,3747127.0,96.22,-226.04,283.51,cube,98.3
1,B00391,8976358.0,171.59,177.69,257.86,tensile_bar,
2,B00391,,194.19,28.34,1.72,bracket,97.95
3,B00391,1715323.0,24.69,220.8,5.82,tensile_bar,98.15
4,B00391,2790194.0,-237.2,231.38,,tensile_bar,97.71
0,B00392,7204483.0,249.3,153.94,63.34,cube,97.5
1,B00392,6295623.0,-178.55,-140.01,255.77,tensile_bar,
2,B00392,1128235.0,143.26,-222.86,324.06,cube,97.21
3,B00392,6873782.0,-79.93,-26.22,187.74,cube,97.24
0,B00393,1070297.0,29.1,-152.65,11.58,tensile_bar,98.89
1,B00393,6775313.0,-1.52,-105.6,95.62,lattice,98.95
2,B00393,2484011.0,174.78,-19.22,330.44,tensile_bar,
3,B00393,,-11.57,-196.53,163.95,cube,98.21
4,B00393,6807554.0,117.42,24.28,104.48,cube,99.56
0,B00394,5884058.0,211.34,239.42,67.81,bracket,97.26
1,B00394,3335172.0,186.75,-178.46,294.06,bracket,98.71
2,B00394,6625125.0,-163.15,193.88,159.49,cube,97.94
3,B00394,3227938.0,-13.03,-207.61,107.36,tensile_bar,97.98
4,B00394,1683037.0,-97.27,85.73,107.66,cube,97.55
0,B00395,3358476.0,56.11,218.4,132.1,cube,97.94
1,B00395,,169.26,,,cube,98.07
2,B00395,6297650.0,117.79,-183.22,229.77,cube,97.79
3,B00395,4154168.0,242.21,-202.61,171.0,tensile_bar,98.68
4,B00395,653021.0,39.35,86.92,5.06,tensile_bar,98.03
0,B00396,3001895.0,154.52,244.62,,tensile_bar,95.95
1,B00396,11045582.0,-145.73,-61.55,172.67,lattice,97.45
2,B00396,1935378.0,-214.42,240.13,112.14,tensile_bar,96.79
3,B00396,1058615.0,-221.38,-212.5,327.4,bracket,96.76
4,B00396,,-201.76,-69.36,343.36,lattice,96.71
0,B00397,8257475.0,37.56,182.79,206.57,cube,97.97
1,B00397,3388038.0,-21.16,93.66,,tensile_bar,98.0
2,B00397,3601790.0,-217.68,217.97,318.43,lattice,98.68
3,B00397,3600785.0,-96.91,-214.54,,cube,98.02
0,B00398,2939867.0,123.2,-229.77,83.48,lattice,97.77
1,B00398,8550416.0,-37.09,143.06,55.57,lattice,96.7
2,B00398,1876013.0,-152.33,200.32,220.06,tensile_bar,96.5
3,B00398,1661909.0,-234.72,-22.41,215.76,lattice,96.98
0,B00399,8401246.0,-188.82,-93.57,314.08,bracket,98.42
1,B00399,3508201.0,129.46,199.59,132.76,tensile_bar,98.84
2,B00399,4167692.0,116.02,171.06,61.95,lattice,98.99
3,B00399,3510341.0,-121.09,7.52,235.97,tensile_bar,98.86
0,B00400,2118487.0,-95.32,-143.13,294.18,lattice,99.15
1,B00400,,-240.2,-28.88,218.08,cube,98.08
2,B00400,2559068.0,-207.78,-203.56,151.87,lattice,97.88
3,B00400,9006787.0,-226.88,84.07,333.72,bracket,99.02
0,B00401,3683824.0,-62.55,-188.19,157.9,bracket,97.14
1,B00401,7078913.0,-40.73,-204.74,46.89,bracket,97.79
2,B00401,1157054.0,36.21,132.45,,lattice,96.91
3,B00401,7278290.0,213.12,242.33,16.88,bracket,97.9
0,B00402,706869.0,-113.79,,283.0,bracket,98.17
1,B00402,1653916.0,-138.45,-44.1,182.86,tensile_bar,97.59
2,B00402,5170065.0,182.44,-220.32,70.24,bracket,98.28
3,B00402,6013597.0,83.59,-191.31,318.58,bracket,97.84
0,B00403,581978.0,-55.24,-209.48,172.12,bracket,99.06
1,B00403,3870951.0,-210.75,46.45,345.09,tensile_bar,98.68
2,B00403,5257092.0,143.66,-133.95,31.69,bracket,98.67
3,B00403,5663160.0,114.27,-244.49,232.37,lattice,98.97
0,B00404,2193589.0,97.27,153.18,139.82,bracket,97.91
1,B00404,4858865.0,-199.64,-216.81,118.19,bracket,98.28
2,B00404,3100893.0,-228.32,211.33,72.48,bracket,98.04
3,B00404,5213453.0,-222.86,169.47,,lattice,97.58
0,B00405,3290230.0,215.96,-58.26,265.58,cube,98.38
1,B00405,4334667.0,56.12,11.37,,tensile_bar,99.0
2,B00405,4155224.0,143.66,-58.83,193.27,tensile_bar,98.84
3,B00405,,153.03,127.66,285.91,bracket,91.99
0,B00406,5028298.0,-160.23,152.93,328.09,lattice,98.52
1,B00406,3594484.0,-39.67,24.88,46.33,bracket,98.64
2,B00406,2649618.0,104.85,-65.95,181.74,bracket,98.55
3,B00406,2099227.0,,,95.4,tensile_bar,99.18
0,B00407,8805723.0,,154.03,37.09,tensile_bar,
1,B00407,3074631.0,-177.89,114.53,319.2,lattice,98.44
2,B00407,1024884.0,-91.29,-31.15,27.83,bracket,99.34
3,B00407,4819692.0,32.81,-187.54,87.02,bracket,97.43
4,B00407,3171159.0,207.93,55.44,302.52,bracket,98.02
0,B00408,4258472.0,-24.26,-246.83,199.17,lattice,
1,B00408,400465.0,-128.72,-99.84,305.47,cube,98.74
2,B00408,5915447.0,203.51,-27.42,57.24,bracket,98.03
3,B00408,657582.0,-144.24,-148.37,280.03,lattice,98.31
4,B00408,3477928.0,-204.96,-66.06,347.8,tensile_bar,98.67
0,B00409,5657678.0,80.82,105.36,118.42,cube,97.76
1,B00409,3486762.0,-19.89,,31.25,tensile_bar,98.74
2,B00409,6604416.0,-145.61,11.4,90.09,cube,98.33
3,B00409,1558494.0,-121.61,22.65,,tensile_bar,97.7
0,B00410,1680332.0,53.91,65.62,257.47,bracket,97.69
1,B00410,3172030.0,-72.73,228.25,69.6,tensile_bar,97.17
2,B00410,,-183.36,133.48,42.4,lattice,
3,B00410,6153660.0,-83.67,-192.26,,lattice,98.4
4,B00410,5763706.0,-77.85,200.84,162.41,bracket,
0,B00411,,69.96,-115.86,121.86,cube,97.86
1,B00411,6397128.0,-208.59,-211.23,,tensile_bar,98.33
2,B00411,2779443.0,-246.78,8.3,152.4,bracket,98.49
3,B00411,2497489.0,169.8,-228.77,196.24,cube,97.31
4,B00411,3470523.0,-232.74,-219.35,,tensile_bar,97.92
0,B00412,4036426.0,-217.25,6.88,44.7,bracket,
1,B00412,2178957.0,-24.94,-15.17,38.35,cube,98.97
2,B00412,2969926.0,-73.89,-150.92,116.16,cube,98.77
3,B00412,1468878.0,207.94,-196.88,168.62,bracket,
4,B00412,8424472.0,15.34,-13.42,315.53,tensile_bar,98.74
0,B00413,1868881.0,-65.89,-139.91,139.49,tensile_bar,98.39
1,B00413,3405426.0,114.97,,15.67,lattice,
2,B00413,9963943.0,67.98,-22.38,77.13,bracket,
3,B00413,1980009.0,216.92,-174.52,150.44,bracket,98.15
0,B00414,,178.89,-198.02,71.28,tensile_bar,96.8
1,B00414,3626247.0,208.81,-26.61,91.75,bracket,97.41
2,B00414,,-51.68,166.9,,lattice,97.74
3,B00414,7243481.0,-227.48,124.18,168.37,bracket,97.14
0,B00415,217625.0,124.22,-133.85,85.1,cube,96.64
1,B00415,4106466.0,25.72,-181.83,160.81,cube,96.95
2,B00415,1133429.0,-74.16,223.16,213.1,lattice,97.4
3,B00415,2799327.0,55.21,,179.43,lattice,97.06
0,B00416,7268058.0,-59.38,70.88,20.88,bracket,97.56
1,B00416,7197546.0,222.68,214.88,,lattice,97.87
2,B00416,1981417.0,61.88,212.38,116.77,tensile_bar,98.02
3,B00416,1671036.0,-219.35,-161.06,127.19,lattice,98.01
4,B00416,,86.77,,274.68,cube,98.4
0,B00417,5814724.0,,-234.62,319.77,lattice,97.87
1,B00417,1314055.0,-53.67,203.59,,bracket,98.07
2,B00417,7477808.0,92.58,-15.23,,cube,98.74
3,B00417,4222410.0,110.72,-157.78,326.38,bracket,98.73
4,B00417,2156098.0,32.75,-41.01,346.97,cube,98.34
0,B00418,699290.0,-58.57,125.79,26.71,lattice,91.67
1,B00418,1278362.0,140.56,20.42,223.02,tensile_bar,97.59
2,B00418,868063.0,28.73,199.18,341.33,bracket,
3,B00418,137163.0,-0.72,-12.72,295.19,lattice,92.59
4,B00418,,139.8,-215.0,119.13,lattice,97.35
5,B00418,9715080.0,211.04,-246.79,176.58,cube,
0,B00419,2153924.0,152.12,-41.56,342.0,bracket,
1,B00419,1489623.0,21.31,56.71,34.15,lattice,98.97
2,B00419,859212.0,1.59,160.5,114.69,lattice,97.99
3,B00419,8171247.0,-83.21,34.99,289.81,tensile_bar,98.23
0,B00420,4716019.0,222.88,-43.13,209.5,bracket,97.75
1,B00420,2753210.0,-85.04,110.99,175.7,tensile_bar,97.7
2,B00420,4691456.0,204.74,176.93,48.3,bracket,98.16
3,B00420,2983657.0,-231.48,-31.33,14.69,cube,97.55
4,B00420,6249583.0,-175.55,-49.0,,cube,
0,B00421,1370873.0,245.91,-14.6,272.95,bracket,98.82
1,B00421,5211655.0,0.29,-109.26,324.58,cube,98.56
2,B00421,3033279.0,,140.76,44.36,bracket,98.08
3,B00421,11543689.0,-66.81,-210.21,72.12,cube,98.25
0,B00422,,-87.17,-160.44,105.22,cube,
1,B00422,2471077.0,93.26,82.6,63.46,cube,95.8
2,B00422,424924.0,-46.81,17.89,80.45,bracket,96.36
3,B00422,932607.0,-97.99,127.02,180.54,bracket,95.81
4,B00422,3562929.0,-170.93,-53.74,279.81,tensile_bar,
5,B00422,2345028.0,144.41,-182.58,44.46,cube,95.75
0,B00423,7781256.0,-246.46,-80.02,133.19,lattice,97.2
1,B00423,8982743.0,172.74,-146.69,121.88,cube,97.01
2,B00423,472009.0,157.24,-239.58,82.23,bracket,97.59
3,B00423,2231580.0,-195.41,-140.75,164.45,bracket,97.58
0,B00424,5710418.0,26.24,183.31,2.03,tensile_bar,99.01
1,B00424,7140057.0,-14.18,-204.97,322.18,bracket,97.98
2,B00424,2891383.0,196.09,-11.48,217.36,cube,98.22
3,B00424,2546582.0,-137.96,-24.5,215.75,tensile_bar,98.75
0,B00425,3968804.0,-56.42,90.7,309.44,cube,
1,B00425,3450665.0,-133.59,73.32,267.78,lattice,98.55
2,B00425,1586024.0,-80.8,-13.57,73.18,bracket,98.34
3,B00425,8302856.0,-56.08,96.19,82.11,tensile_bar,
4,B00425,4184268.0,85.74,229.64,204.38,cube,98.25
0,B00426,2905774.0,-188.47,-76.26,198.74,lattice,98.87
1,B00426,7047854.0,-132.04,-249.61,64.27,bracket,
2,B00426,2515709.0,29.92,203.86,118.07,lattice,92.37
3,B00426,5096833.0,203.67,-58.37,,bracket,98.81
0,B00427,4525001.0,249.19,122.35,273.37,lattice,98.67
1,B00427,6725078.0,-13.47,-179.91,328.42,cube,98.68
2,B00427,3042380.0,-232.33,-191.69,189.57,tensile_bar,
3,B00427,,217.7,,190.32,cube,
0,B00428,7351836.0,-101.6,103.29,,cube,98.37
1,B00428,2831461.0,78.7,160.12,338.58,bracket,97.68
2,B00428,6743736.0,36.73,111.98,25.02,cube,98.5
3,B00428,3339163.0,213.69,-118.7,,tensile_bar,98.12
0,B00429,,,41.94,152.15,tensile_bar,98.82
1,B00429,3809457.0,-24.56,-148.24,195.31,cube,99.31
2,B00429,2204949.0,225.78,152.84,226.22,lattice,98.67
3,B00429,,189.79,0.38,221.82,lattice,98.67
0,B00430,3639982.0,-197.26,-140.63,309.02,cube,96.87
1,B00430,2001487.0,-25.56,-238.56,,cube,96.92
2,B00430,2151947.0,167.54,-142.62,181.98,tensile_bar,97.25
3,B00430,9293210.0,-245.94,122.84,348.13,tensile_bar,91.33
0,B00431,4177593.0,-188.72,165.87,103.69,tensile_bar,95.87
1,B00431,2336519.0,-188.22,-157.26,277.58,bracket,95.09
2,B00431,4754753.0,60.07,-87.15,301.5,cube,95.36
3,B00431,514637.0,190.99,-135.35,128.85,cube,95.72
0,B00432,6173038.0,240.17,-76.26,168.33,bracket,98.05
1,B00432,6258964.0,88.89,237.4,172.75,cube,98.07
2,B00432,5551098.0,-55.43,-196.36,309.23,bracket,97.99
3,B00432,3448360.0,-186.91,108.21,150.52,tensile_bar,98.75
0,B00433,5681935.0,-15.9,108.81,142.95,cube,98.91
1,B00433,2168066.0,-79.75,-132.22,,cube,98.65
2,B00433,4317088.0,-116.9,-91.7,,bracket,98.1
3,B00433,3538932.0,-229.51,-49.56,307.05,bracket,98.23
0,B00434,7939553.0,-25.03,229.93,262.84,bracket,96.6
1,B00434,3856068.0,-106.16,224.47,189.56,cube,97.4
2,B00434,3848989.0,-93.09,-77.15,103.76,tensile_bar,97.63
3,B00434,211305.0,-42.99,-67.92,25.57,cube,
0,B00435,4100489.0,210.47,-42.95,203.6,lattice,98.37
1,B00435,2837406.0,57.4,-106.45,13.69,tensile_bar,98.18
2,B00435,5716083.0,-88.97,-112.92,165.23,cube,
3,B00435,7235342.0,107.8,-139.04,200.53,tensile_bar,
0,B00436,3433170.0,34.99,237.07,107.11,cube,97.54
1,B00436,4294104.0,-101.09,-13.07,181.49,cube,97.89
2,B00436,6043124.0,-24.63,115.53,90.65,tensile_bar,97.94
3,B00436,1494568.0,1.36,-215.38,144.49,cube,97.43
0,B00437,6269508.0,-140.55,-166.74,41.48,lattice,96.07
1,B00437,2136893.0,-173.48,168.69,84.7,cube,96.39
2,B00437,3235883.0,-183.38,194.07,58.1,bracket,96.59
3,B00437,,-112.67,-149.21,197.96,tensile_bar,95.86
0,B00438,2124264.0,-140.67,84.99,249.93,bracket,98.07
1,B00438,3410322.0,198.11,-178.48,98.67,tensile_bar,98.55
2,B00438,1448373.0,-190.23,120.08,102.27,tensile_bar,98.17
3,B00438,3784509.0,-125.96,1.08,90.5,bracket,98.39
0,B00439,12030139.0,,-7.84,,lattice,98.88
1,B00439,3527439.0,54.91,-99.5,134.92,cube,98.52
2,B00439,780214.0,229.89,135.88,242.03,cube,98.51
