machine_id,timestamp,oxygen_ppm,gas_flow_rate_l_min,build_plate_temperature_deg_c
M000,2025-02-09 23:31:48.976864,62.0,7.75,110.6
M001,2025-02-09 23:33:26.028030,155.0,7.21,
M002,2025-02-09 23:44:58.539147,130.0,5.56,299.2
M000,2025-02-09 23:46:48.976864,60.0,7.25,112.8
M001,2025-02-09 23:48:26.028030,147.0,7.36,200.7
M002,2025-02-09 23:59:58.539147,122.0,5.61,299.6
M000,2025-02-10 00:01:48.976864,66.0,,110.1
M001,2025-02-10 00:03:26.028030,143.0,7.55,200.4
M002,2025-02-10 00:14:58.539147,132.0,5.7,300.8
M000,2025-02-10 00:16:48.976864,60.0,7.05,108.3
M001,2025-02-10 00:18:26.028030,143.0,7.27,199.4
M002,2025-02-10 00:29:58.539147,138.0,5.94,300.4
M000,2025-02-10 00:31:48.976864,55.0,7.29,
M001,2025-02-10 00:33:26.028030,147.0,7.82,200.0
M002,2025-02-10 00:44:58.539147,129.0,5.63,297.1
M000,2025-02-10 00:46:48.976864,52.0,7.82,113.0
M001,2025-02-10 00:48:26.028030,158.0,7.53,198.9
M002,2025-02-10 00:59:58.539147,134.0,5.48,300.5
M000,2025-02-10 01:01:48.976864,64.0,7.3,111.7
M001,2025-02-10 01:03:26.028030,160.0,7.57,199.2
M002,2025-02-10 01:14:58.539147,129.0,5.61,300.3
M000,2025-02-10 01:16:48.976864,65.0,7.31,109.6
M001,2025-02-10 01:18:26.028030,145.0,7.44,199.5
M002,2025-02-10 01:29:58.539147,121.0,,298.5
M000,2025-02-10 01:31:48.976864,64.0,7.64,109.0
M001,2025-02-10 01:33:26.028030,151.0,7.51,200.9
M002,2025-02-10 01:44:58.539147,140.0,5.52,301.7
M000,2025-02-10 01:46:48.976864,57.0,7.37,110.0
M001,2025-02-10 01:48:26.028030,,,203.0
M002,2025-02-10 01:59:58.539147,137.0,5.59,
M000,2025-02-10 02:01:48.976864,56.0,7.27,109.0
M001,2025-02-10 02:03:26.028030,145.0,7.51,199.7
M002,2025-02-10 02:14:58.539147,124.0,,300.9
M000,2025-02-10 02:16:48.976864,57.0,7.38,111.8
M001,2025-02-10 02:18:26.028030,151.0,7.86,200.2
M002,2025-02-10 02:29:58.539147,130.0,,300.2
M000,2025-02-10 02:31:48.976864,64.0,7.34,112.2
M001,2025-02-10 02:33:26.028030,147.0,7.67,202.9
M002,2025-02-10 02:44:58.539147,129.0,6.0,299.0
M000,2025-02-10 02:46:48.976864,56.0,7.18,110.5
M001,2025-02-10 02:48:26.028030,145.0,7.38,200.1
M002,2025-02-10 02:59:58.539147,126.0,5.46,297.8
M000,2025-02-10 03:01:48.976864,58.0,7.11,110.2
M001,2025-02-10 03:03:26.028030,151.0,7.65,202.0
M002,2025-02-10 03:14:58.539147,126.0,5.36,302.3
M000,2025-02-10 03:16:48.976864,52.0,,110.6
M001,2025-02-10 03:18:26.028030,151.0,7.96,199.6
M002,2025-02-10 03:29:58.539147,133.0,,298.0
M000,2025-02-10 03:31:48.976864,63.0,7.12,111.3
M001,2025-02-10 03:33:26.028030,167.0,7.98,201.0
M002,2025-02-10 03:44:58.539147,125.0,5.45,302.2
M000,2025-02-10 03:46:48.976864,59.0,7.62,108.0
M001,2025-02-10 03:48:26.028030,151.0,7.64,201.7
M002,2025-02-10 03:59:58.539147,129.0,5.66,299.6
M000,2025-02-10 04:01:48.976864,58.0,7.31,109.6
M001,2025-02-10 04:03:26.028030,143.0,7.64,198.9
M002,2025-02-10 04:14:58.539147,138.0,,298.9
M000,2025-02-10 04:16:48.976864,63.0,7.13,110.9
M001,2025-02-10 04:18:26.028030,154.0,7.88,197.3
M002,2025-02-10 04:29:58.539147,138.0,5.52,299.6
M000,2025-02-10 04:31:48.976864,42.0,7.24,111.0
M001,2025-02-10 04:33:26.028030,159.0,7.5,198.8
M002,2025-02-10 04:44:58.539147,132.0,5.43,300.5
M000,2025-02-10 04:46:48.976864,66.0,7.54,
M001,2025-02-10 04:48:26.028030,151.0,7.23,199.8
M002,2025-02-10 04:59:58.539147,128.0,,302.8
M000,2025-02-10 05:01:48.976864,55.0,,110.4
M001,2025-02-10 05:03:26.028030,,7.34,199.3
M002,2025-02-10 05:14:58.539147,120.0,5.52,300.9
M000,2025-02-10 05:16:48.976864,59.0,7.46,111.7
M001,2025-02-10 05:18:26.028030,146.0,7.42,198.6
M002,2025-02-10 05:29:58.539147,131.0,5.67,298.0
M000,2025-02-10 05:31:48.976864,65.0,7.52,107.9
M001,2025-02-10 05:33:26.028030,143.0,7.76,200.4
M002,2025-02-10 05:44:58.539147,124.0,5.54,297.6
M000,2025-02-10 05:46:48.976864,56.0,7.48,109.1
M001,2025-02-10 05:48:26.028030,145.0,7.67,202.4
M002,2025-02-10 05:59:58.539147,127.0,5.2,299.2
M000,2025-02-10 06:01:48.976864,,7.14,112.1
M001,2025-02-10 06:03:26.028030,148.0,7.69,199.0
M002,2025-02-10 06:14:58.539147,124.0,5.28,298.6
M000,2025-02-10 06:16:48.976864,51.0,7.57,109.0
M001,2025-02-10 06:18:26.028030,146.0,7.45,201.5
M002,2025-02-10 06:29:58.539147,133.0,5.49,298.6
M000,2025-02-10 06:31:48.976864,63.0,7.64,110.3
M001,2025-02-10 06:33:26.028030,,7.95,201.3
M002,2025-02-10 06:44:58.539147,140.0,,299.7
M000,2025-02-10 06:46:48.976864,58.0,7.18,109.3
M001,2025-02-10 06:48:26.028030,149.0,7.72,201.3
M002,2025-02-10 06:59:58.539147,135.0,5.75,297.9
M000,2025-02-10 07:01:48.976864,61.0,7.36,111.2
M001,2025-02-10 07:03:26.028030,147.0,7.79,199.7
M002,2025-02-10 07:14:58.539147,132.0,5.97,297.9
M000,2025-02-10 07:16:48.976864,71.0,,110.6
M001,2025-02-10 07:18:26.028030,156.0,7.5,201.2
M002,2025-02-10 07:29:58.539147,134.0,5.81,298.9
M000,2025-02-10 07:31:48.976864,70.0,7.3,111.1
M001,2025-02-10 07:33:26.028030,145.0,7.85,200.1
M002,2025-02-10 07:44:58.539147,,5.41,298.1
M000,2025-02-10 07:46:48.976864,60.0,7.58,110.5
M001,2025-02-10 07:48:26.028030,,7.86,201.1
M002,2025-02-10 07:59:58.539147,135.0,,
M000,2025-02-10 08:01:48.976864,52.0,,111.5
M001,2025-02-10 08:03:26.028030,152.0,7.61,198.8
M002,2025-02-10 08:14:58.539147,135.0,5.41,301.1
M000,2025-02-10 08:16:48.976864,52.0,,110.7
M001,2025-02-10 08:18:26.028030,153.0,7.4,202.3
M002,2025-02-10 08:29:58.539147,134.0,6.06,300.2
M000,2025-02-10 08:31:48.976864,62.0,7.25,109.1
M001,2025-02-10 08:33:26.028030,146.0,7.33,
M002,2025-02-10 08:44:58.539147,129.0,,300.8
M000,2025-02-10 08:46:48.976864,65.0,7.26,108.3
M001,2025-02-10 08:48:26.028030,152.0,7.51,200.9
M002,2025-02-10 08:59:58.539147,133.0,5.69,300.3
M000,2025-02-10 09:01:48.976864,55.0,7.43,112.1
M001,2025-02-10 09:03:26.028030,149.0,7.65,201.0
M002,2025-02-10 09:14:58.539147,128.0,5.64,300.7
M000,2025-02-10 09:16:48.976864,54.0,7.47,109.5
M001,2025-02-10 09:18:26.028030,152.0,7.43,196.9
M002,2025-02-10 09:29:58.539147,130.0,5.58,297.4
M000,2025-02-10 09:31:48.976864,69.0,7.35,112.4
M001,2025-02-10 09:33:26.028030,155.0,7.34,196.7
M002,2025-02-10 09:44:58.539147,134.0,5.64,299.0
M000,2025-02-10 09:46:48.976864,58.0,,111.1
M001,2025-02-10 09:48:26.028030,149.0,7.32,197.7
M002,2025-02-10 09:59:58.539147,140.0,5.64,
M000,2025-02-10 10:01:48.976864,64.0,,108.9
M001,2025-02-10 10:03:26.028030,155.0,7.81,200.3
M002,2025-02-10 10:14:58.539147,134.0,5.78,300.6
M000,2025-02-10 10:16:48.976864,62.0,7.37,110.9
M001,2025-02-10 10:18:26.028030,150.0,7.79,199.3
M002,2025-02-10 10:29:58.539147,132.0,5.41,299.1
M000,2025-02-10 10:31:48.976864,71.0,7.22,110.5
M001,2025-02-10 10:33:26.028030,150.0,7.48,201.8
M002,2025-02-10 10:44:58.539147,133.0,5.52,300.9
M000,2025-02-10 10:46:48.976864,59.0,7.37,110.8
M001,2025-02-10 10:48:26.028030,145.0,7.78,198.9
M002,2025-02-10 10:59:58.539147,139.0,5.58,301.9
M000,2025-02-10 11:01:48.976864,52.0,7.49,109.6
M001,2025-02-10 11:03:26.028030,157.0,,203.5
M002,2025-02-10 11:14:58.539147,130.0,5.65,299.9
M000,2025-02-10 11:16:48.976864,57.0,7.44,113.0
M001,2025-02-10 11:18:26.028030,156.0,7.82,201.7
M002,2025-02-10 11:29:58.539147,134.0,5.88,300.3
M000,2025-02-10 11:31:48.976864,62.0,7.13,112.2
M001,2025-02-10 11:33:26.028030,138.0,7.09,198.1
M002,2025-02-10 11:44:58.539147,126.0,5.54,298.0
M000,2025-02-10 11:46:48.976864,61.0,7.19,108.9
M001,2025-02-10 11:48:26.028030,149.0,7.92,200.5
M002,2025-02-10 11:59:58.539147,126.0,5.7,299.0
M000,2025-02-10 12:01:48.976864,,,109.5
M001,2025-02-10 12:03:26.028030,155.0,7.63,199.0
M002,2025-02-10 12:14:58.539147,131.0,5.58,297.4
M000,2025-02-10 12:16:48.976864,68.0,,107.9
M001,2025-02-10 12:18:26.028030,152.0,7.66,201.2
M002,2025-02-10 12:29:58.539147,126.0,5.99,298.4
M000,2025-02-10 12:31:48.976864,60.0,7.36,107.6
M001,2025-02-10 12:33:26.028030,149.0,7.48,198.4
M002,2025-02-10 12:44:58.539147,134.0,5.97,300.2
M000,2025-02-10 12:46:48.976864,64.0,7.02,108.4
M001,2025-02-10 12:48:26.028030,149.0,7.88,198.0
M002,2025-02-10 12:59:58.539147,134.0,5.78,299.9
M000,2025-02-10 13:01:48.976864,57.0,7.33,
M001,2025-02-10 13:03:26.028030,148.0,,196.8
M002,2025-02-10 13:14:58.539147,136.0,,302.3
M000,2025-02-10 13:16:48.976864,,,110.5
M001,2025-02-10 13:18:26.028030,143.0,7.86,200.2
M002,2025-02-10 13:29:58.539147,116.0,5.78,301.6
M000,2025-02-10 13:31:48.976864,62.0,7.44,107.9
M001,2025-02-10 13:33:26.028030,155.0,7.6,202.0
M002,2025-02-10 13:44:58.539147,133.0,5.76,297.0
M000,2025-02-10 13:46:48.976864,59.0,7.42,110.0
M001,2025-02-10 13:48:26.028030,148.0,7.29,199.5
M002,2025-02-10 13:59:58.539147,132.0,5.26,302.6
M001,2025-02-10 14:03:26.028030,,7.67,202.4
M002,2025-02-10 14:14:58.539147,129.0,5.66,298.3
M001,2025-02-10 14:18:26.028030,149.0,7.43,201.2
M002,2025-02-10 14:29:58.539147,129.0,5.47,299.0
M001,2025-02-10 14:33:26.028030,150.0,7.49,201.4
M002,2025-02-10 14:44:58.539147,135.0,5.61,302.3
M001,2025-02-10 14:48:26.028030,152.0,7.82,199.0
M002,2025-02-10 14:59:58.539147,124.0,5.55,300.1
M001,2025-02-10 15:03:26.028030,147.0,7.75,198.5
M002,2025-02-10 15:14:58.539147,,5.63,299.1
M001,2025-02-10 15:18:26.028030,145.0,7.76,201.2
M002,2025-02-10 15:29:58.539147,145.0,5.49,
M001,2025-02-10 15:33:26.028030,153.0,7.55,201.3
M002,2025-02-10 15:44:58.539147,137.0,5.64,299.1
M001,2025-02-10 15:48:26.028030,150.0,7.53,199.3
M002,2025-02-10 15:59:58.539147,123.0,5.63,301.5
M001,2025-02-10 16:03:26.028030,147.0,7.76,198.9
M002,2025-02-10 16:14:58.539147,129.0,5.72,299.8
M001,2025-02-10 16:18:26.028030,146.0,7.4,199.8
M000,2025-02-10 16:27:15.394350,69.0,7.42,147.6
M002,2025-02-10 16:29:58.539147,141.0,5.17,301.7
M001,2025-02-10 16:33:26.028030,158.0,7.61,202.4
M000,2025-02-10 16:42:15.394350,78.0,,149.9
M002,2025-02-10 16:44:58.539147,136.0,,299.4
M001,2025-02-10 16:48:26.028030,142.0,7.52,198.7
M000,2025-02-10 16:57:15.394350,75.0,7.27,147.8
M002,2025-02-10 16:59:58.539147,126.0,5.47,303.9
M001,2025-02-10 17:03:26.028030,,7.52,199.1
M000,2025-02-10 17:12:15.394350,68.0,7.48,147.3
M002,2025-02-10 17:14:58.539147,126.0,,295.2
M001,2025-02-10 17:18:26.028030,151.0,7.56,197.6
M000,2025-02-10 17:27:15.394350,82.0,6.82,148.5
M002,2025-02-10 17:29:58.539147,124.0,5.65,301.0
M001,2025-02-10 17:33:26.028030,153.0,7.68,200.8
M000,2025-02-10 17:42:15.394350,79.0,,150.0
M002,2025-02-10 17:44:58.539147,136.0,5.58,298.1
M001,2025-02-10 17:48:26.028030,149.0,,199.9
M000,2025-02-10 17:57:15.394350,64.0,7.36,151.2
M002,2025-02-10 17:59:58.539147,115.0,5.54,299.7
M001,2025-02-10 18:03:26.028030,152.0,7.77,196.9
M000,2025-02-10 18:12:15.394350,75.0,7.16,149.1
M002,2025-02-10 18:14:58.539147,133.0,5.65,303.0
M001,2025-02-10 18:18:26.028030,151.0,7.59,199.8
M000,2025-02-10 18:27:15.394350,75.0,7.08,149.4
M002,2025-02-10 18:29:58.539147,128.0,5.5,299.7
M001,2025-02-10 18:33:26.028030,146.0,7.69,200.0
M000,2025-02-10 18:42:15.394350,73.0,6.9,148.6
M002,2025-02-10 18:44:58.539147,125.0,5.38,300.7
M001,2025-02-10 18:48:26.028030,163.0,7.81,198.6
M000,2025-02-10 18:57:15.394350,72.0,6.8,148.4
M002,2025-02-10 18:59:58.539147,129.0,5.72,301.0
M001,2025-02-10 19:03:26.028030,153.0,7.79,201.1
M000,2025-02-10 19:12:15.394350,71.0,,150.8
M001,2025-02-10 19:18:26.028030,152.0,7.69,202.1
M000,2025-02-10 19:27:15.394350,76.0,7.53,149.7
M001,2025-02-10 19:33:26.028030,154.0,7.71,198.4
M000,2025-02-10 19:42:15.394350,88.0,7.35,149.1
M001,2025-02-10 19:48:26.028030,150.0,7.74,196.3
M000,2025-02-10 19:57:15.394350,68.0,7.19,150.6
M001,2025-02-10 20:03:26.028030,145.0,7.64,200.3
M000,2025-02-10 20:12:15.394350,65.0,6.79,149.5
M001,2025-02-10 20:18:26.028030,141.0,7.74,203.0
M000,2025-02-10 20:27:15.394350,72.0,7.25,152.4
M001,2025-02-10 20:33:26.028030,146.0,7.7,201.2
M000,2025-02-10 20:42:15.394350,76.0,7.31,148.1
M001,2025-02-10 20:48:26.028030,147.0,7.6,196.5
M000,2025-02-10 20:57:15.394350,83.0,7.09,148.2
M001,2025-02-10 21:03:26.028030,157.0,7.75,198.4
M000,2025-02-10 21:12:15.394350,79.0,,150.5
M001,2025-02-10 21:18:26.028030,146.0,7.77,201.7
M000,2025-02-10 21:27:15.394350,,7.05,148.2
M001,2025-02-10 21:33:26.028030,157.0,7.96,201.3
M000,2025-02-10 21:42:15.394350,75.0,7.02,151.6
M001,2025-02-10 21:48:26.028030,151.0,7.8,199.6
M000,2025-02-10 21:57:15.394350,82.0,,147.6
M001,2025-02-10 22:03:26.028030,142.0,7.83,202.7
M000,2025-02-10 22:12:15.394350,78.0,7.55,152.7
M001,2025-02-10 22:18:26.028030,153.0,7.97,200.0
M000,2025-02-10 22:27:15.394350,80.0,7.19,148.5
M001,2025-02-10 22:33:26.028030,148.0,,198.1
M000,2025-02-10 22:42:15.394350,85.0,,149.0
M001,2025-02-10 22:48:26.028030,156.0,7.39,200.6
M000,2025-02-10 22:57:15.394350,78.0,7.06,148.7
M001,2025-02-10 23:03:26.028030,146.0,7.68,199.1
M000,2025-02-10 23:12:15.394350,82.0,7.28,149.9
M001,2025-02-10 23:18:26.028030,139.0,7.22,202.1
M000,2025-02-10 23:27:15.394350,72.0,6.8,151.1
M001,2025-02-10 23:33:26.028030,151.0,7.54,202.4
M000,2025-02-10 23:42:15.394350,78.0,7.25,153.4
M001,2025-02-10 23:48:26.028030,144.0,7.62,203.2
M000,2025-02-10 23:57:15.394350,75.0,6.87,148.3
M001,2025-02-11 00:03:26.028030,152.0,7.49,200.8
M000,2025-02-11 00:12:15.394350,77.0,,150.9
M001,2025-02-11 00:18:26.028030,148.0,7.24,199.6
M000,2025-02-11 00:27:15.394350,82.0,,151.3
M001,2025-02-11 00:33:26.028030,153.0,7.6,
M000,2025-02-11 00:42:15.394350,78.0,7.58,151.6
M001,2025-02-11 00:48:26.028030,146.0,,199.3
M000,2025-02-11 00:57:15.394350,74.0,7.23,149.8
M001,2025-02-11 01:03:26.028030,148.0,8.01,198.7
M000,2025-02-11 01:12:15.394350,74.0,7.1,149.7
M001,2025-02-11 01:18:26.028030,154.0,7.64,201.7
M000,2025-02-11 01:27:15.394350,80.0,7.0,152.0
M001,2025-02-11 01:33:26.028030,142.0,7.46,198.4
M000,2025-02-11 01:42:15.394350,75.0,7.05,147.3
M001,2025-02-11 01:48:26.028030,151.0,,201.1
M002,2025-02-11 01:50:18.119170,114.0,7.85,120.0
M000,2025-02-11 01:57:15.394350,80.0,7.0,146.8
M001,2025-02-11 02:03:26.028030,,7.81,199.7
M002,2025-02-11 02:05:18.119170,105.0,7.9,116.7
M000,2025-02-11 02:12:15.394350,71.0,7.07,150.2
M001,2025-02-11 02:18:26.028030,151.0,7.43,203.4
M002,2025-02-11 02:20:18.119170,113.0,7.99,117.0
M000,2025-02-11 02:27:15.394350,81.0,7.41,151.7
M001,2025-02-11 02:33:26.028030,143.0,7.36,200.3
M002,2025-02-11 02:35:18.119170,111.0,,119.1
M000,2025-02-11 02:42:15.394350,82.0,6.95,151.7
M001,2025-02-11 02:48:26.028030,155.0,7.66,197.4
M002,2025-02-11 02:50:18.119170,114.0,8.23,119.4
M000,2025-02-11 02:57:15.394350,66.0,,149.9
M001,2025-02-11 03:03:26.028030,144.0,7.5,203.5
M002,2025-02-11 03:05:18.119170,107.0,,120.2
M000,2025-02-11 03:12:15.394350,73.0,6.83,150.7
M001,2025-02-11 03:18:26.028030,155.0,7.32,201.3
M002,2025-02-11 03:20:18.119170,113.0,7.87,117.7
M000,2025-02-11 03:27:15.394350,79.0,7.22,152.5
M001,2025-02-11 03:33:26.028030,157.0,7.85,197.1
M002,2025-02-11 03:35:18.119170,110.0,8.21,120.3
M000,2025-02-11 03:42:15.394350,74.0,7.14,149.3
M001,2025-02-11 03:48:26.028030,152.0,7.77,199.0
M002,2025-02-11 03:50:18.119170,110.0,7.74,120.5
M000,2025-02-11 03:57:15.394350,79.0,7.2,150.6
M001,2025-02-11 04:03:26.028030,141.0,7.42,197.3
M002,2025-02-11 04:05:18.119170,112.0,,119.4
M000,2025-02-11 04:12:15.394350,76.0,7.04,149.0
M001,2025-02-11 04:18:26.028030,147.0,7.72,199.6
M002,2025-02-11 04:20:18.119170,104.0,7.94,119.0
M000,2025-02-11 04:27:15.394350,78.0,6.9,151.3
M001,2025-02-11 04:33:26.028030,152.0,7.81,199.3
M002,2025-02-11 04:35:18.119170,105.0,8.01,123.0
M000,2025-02-11 04:42:15.394350,78.0,7.2,152.3
M001,2025-02-11 04:48:26.028030,145.0,7.74,200.8
M002,2025-02-11 04:50:18.119170,108.0,8.26,119.5
M000,2025-02-11 04:57:15.394350,75.0,6.64,150.1
M001,2025-02-11 05:03:26.028030,158.0,7.57,202.0
M002,2025-02-11 05:05:18.119170,112.0,,118.0
M000,2025-02-11 05:12:15.394350,73.0,6.95,149.0
M001,2025-02-11 05:18:26.028030,149.0,7.75,201.2
M002,2025-02-11 05:20:18.119170,114.0,7.91,120.9
M000,2025-02-11 05:27:15.394350,84.0,6.96,151.0
M001,2025-02-11 05:33:26.028030,155.0,7.48,201.3
M002,2025-02-11 05:35:18.119170,106.0,7.93,121.0
M000,2025-02-11 05:42:15.394350,82.0,7.16,151.1
M001,2025-02-11 05:48:26.028030,150.0,7.35,201.0
M002,2025-02-11 05:50:18.119170,114.0,7.84,121.3
M000,2025-02-11 05:57:15.394350,84.0,7.01,151.8
M001,2025-02-11 06:03:26.028030,157.0,7.67,200.1
M002,2025-02-11 06:05:18.119170,115.0,8.29,121.3
M000,2025-02-11 06:12:15.394350,74.0,6.95,149.8
M001,2025-02-11 06:18:26.028030,154.0,7.53,201.1
M002,2025-02-11 06:20:18.119170,111.0,7.95,120.7
M000,2025-02-11 06:27:15.394350,75.0,,149.0
M001,2025-02-11 06:33:26.028030,152.0,7.36,199.8
M002,2025-02-11 06:35:18.119170,113.0,8.38,123.1
M000,2025-02-11 06:42:15.394350,,7.06,149.1
M001,2025-02-11 06:48:26.028030,154.0,7.17,199.0
M002,2025-02-11 06:50:18.119170,116.0,8.01,120.0
M000,2025-02-11 06:57:15.394350,67.0,6.78,149.8
M001,2025-02-11 07:03:26.028030,156.0,7.36,198.2
M002,2025-02-11 07:05:18.119170,107.0,,121.0
M000,2025-02-11 07:12:15.394350,72.0,7.13,147.8
M001,2025-02-11 07:18:26.028030,155.0,7.75,199.8
M002,2025-02-11 07:20:18.119170,116.0,8.01,118.8
M000,2025-02-11 07:27:15.394350,75.0,6.71,150.3
M001,2025-02-11 07:33:26.028030,142.0,7.63,199.0
M002,2025-02-11 07:35:18.119170,,8.16,118.4
M000,2025-02-11 07:42:15.394350,77.0,7.2,150.0
M001,2025-02-11 07:48:26.028030,147.0,7.49,200.8
M002,2025-02-11 07:50:18.119170,108.0,7.91,118.9
M000,2025-02-11 07:57:15.394350,73.0,,151.7
M001,2025-02-11 08:03:26.028030,,7.35,196.5
M002,2025-02-11 08:05:18.119170,105.0,,120.4
M000,2025-02-11 08:12:15.394350,83.0,,148.4
M001,2025-02-11 08:18:26.028030,148.0,7.46,199.0
M002,2025-02-11 08:20:18.119170,104.0,7.96,122.5
M000,2025-02-11 08:27:15.394350,79.0,7.31,151.3
M001,2025-02-11 08:33:26.028030,148.0,7.77,199.4
M002,2025-02-11 08:35:18.119170,111.0,,118.5
M000,2025-02-11 08:42:15.394350,70.0,7.04,
M001,2025-02-11 08:48:26.028030,151.0,,196.8
M002,2025-02-11 08:50:18.119170,,8.18,120.7
M000,2025-02-11 08:57:15.394350,79.0,7.3,150.1
M001,2025-02-11 09:03:26.028030,151.0,7.63,203.4
M002,2025-02-11 09:05:18.119170,114.0,8.12,121.7
M000,2025-02-11 09:12:15.394350,,7.18,151.0
M001,2025-02-11 09:18:26.028030,142.0,7.72,200.2
M002,2025-02-11 09:20:18.119170,104.0,7.88,118.5
M000,2025-02-11 09:27:15.394350,68.0,7.06,149.6
M001,2025-02-11 09:33:26.028030,144.0,7.48,198.0
M002,2025-02-11 09:35:18.119170,110.0,8.08,117.0
M000,2025-02-11 09:42:15.394350,,7.19,151.4
M001,2025-02-11 09:48:26.028030,147.0,7.87,201.0
M002,2025-02-11 09:50:18.119170,,7.79,119.1
M000,2025-02-11 09:57:15.394350,70.0,7.12,151.0
M001,2025-02-11 10:03:26.028030,156.0,7.55,201.2
M002,2025-02-11 10:05:18.119170,115.0,7.59,119.5
M000,2025-02-11 10:12:15.394350,79.0,7.17,147.8
M001,2025-02-11 10:18:26.028030,150.0,7.68,201.1
M002,2025-02-11 10:20:18.119170,106.0,8.26,118.9
M000,2025-02-11 10:27:15.394350,81.0,7.04,147.7
M001,2025-02-11 10:33:26.028030,158.0,7.72,198.7
M002,2025-02-11 10:35:18.119170,106.0,7.85,118.7
M000,2025-02-11 10:42:15.394350,81.0,7.02,149.2
M001,2025-02-11 10:48:26.028030,154.0,7.39,201.0
M002,2025-02-11 10:50:18.119170,112.0,8.06,120.5
M000,2025-02-11 10:57:15.394350,77.0,,148.9
M001,2025-02-11 11:03:26.028030,150.0,,200.0
M002,2025-02-11 11:05:18.119170,104.0,,122.5
M000,2025-02-11 11:12:15.394350,76.0,7.24,
M001,2025-02-11 11:18:26.028030,158.0,,198.3
